date,time,sport,channel,comp,ht,at
2025-06-17,12:30AM,Basketball,SportsNet East,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet One,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet Ontario,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet Pacific,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet West,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Stöð 2 Sport 2 IS,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,TV 2 Sport X,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Go3 Sport 2 LV,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ABC,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,AFN Sports,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Arena Sport 1 Premium RS,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Arena Sport 1 SI,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:00AM,Basketball,BeIN Sports 1 Qatar,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,BeIN Sports English 1 Qatar,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,BeIn Sports HD 1 France,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,TNT Sports 1,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Cosmote Sport 4 GR,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Diema Sport 2 BG,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN 1 Netherlands,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ESPN 2 Honduras,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN 4 Netherlands,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN Australia,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ESPN Deportes,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN New Zealand,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ESPN Nicaragua,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,WatchESPN Australia,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Movistar Deportes,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,NBA League Pass,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Nova Sport 2 CZ,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ProSieben Maxx,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,RDS,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,S Sport TR,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:00AM,Basketball,Sky Sport NBA,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Sport 1 Hungary,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Sport TV 1,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Sportkanalen SWE,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet East,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet One,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet Ontario,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet Pacific,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,SportsNet West,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Stöð 2 Sport 2 IS,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,TV 2 Sport X,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Go3 Sport 2 LV,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ABC,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,AFN Sports,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Arena Sport 1 Premium RS,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Arena Sport 1 SI,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:00AM,Basketball,BeIN Sports 1 Qatar,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,BeIN Sports English 1 Qatar,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,BeIn Sports HD 1 France,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,TNT Sports 1,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Cosmote Sport 4 GR,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Diema Sport 2 BG,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN 1 Netherlands,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ESPN 2 Honduras,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN 4 Netherlands,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN Australia,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ESPN Deportes,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,ESPN New Zealand,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ESPN Nicaragua,NBA Cup,Oklahoma City Thunder,Indiana Pacers
2025-06-17,11:00PM,Basketball,NBA TV,WNBA,Indiana Fever,Connecticut Sun
2025-06-17,11:00PM,Basketball,NBA TV Portugal,WNBA,Indiana Fever,Connecticut Sun
2025-06-17,11:00PM,Basketball,SportsNet 360,WNBA,Indiana Fever,Connecticut Sun
2025-06-17,11:00PM,Basketball,NBA TV LT,WNBA,Indiana Fever,Connecticut Sun
2025-06-17,11:00PM,Basketball,AFN Sports 2,WNBA,Indiana Fever,Connecticut Sun
2025-06-18,11:00PM,Basketball,AFN Sports 2,WNBA,Connecticut Sun,Phoenix Mercury
2025-06-18,2:00AM,Basketball,NBA TV,WNBA,Los Angeles Sparks,Seattle Storm
2025-06-18,2:00AM,Basketball,NBA TV Portugal,WNBA,Los Angeles Sparks,Seattle Storm
2025-06-18,2:00AM,Basketball,Spectrum Sports,WNBA,Los Angeles Sparks,Seattle Storm
2025-06-18,2:00AM,Basketball,Spectrum SportsNet,WNBA,Los Angeles Sparks,Seattle Storm
2025-06-18,2:00AM,Basketball,NBA TV LT,WNBA,Los Angeles Sparks,Seattle Storm
2025-06-18,2:00AM,Basketball,AFN Sports 2,WNBA,Los Angeles Sparks,Seattle Storm
